#  time               r              phi             Phi             Pi            delta              A            Ricci
1.3351768778    1.1309733553    0.0057292092   -0.0266129622   -0.0456326772   -7.6452967537    0.9724201650  -12.0003531766
1.3351768778    1.2723450247    0.0022763356   -0.0204428711   -0.0210519654   -7.6453814664    0.9913566609  -11.9999836058
1.3351768778    1.4137166941    0.0003383646   -0.0067967188   -0.0039289417   -7.6453938515    0.9987371171  -11.9999980385
1.3548118319    0.1413716694    1.7676932902   -8.5037780620   -3.7625529886   -0.5933884328    0.6375275410   73.1807033094
1.3548118319    0.2827433388    0.1966265975   -7.0776410750   -7.1585892757   -7.4491246145    0.0387748454  -11.9277639187
1.3548118319    0.4241150082    0.0348919839   -0.2129618715   -0.4639206514   -7.7162651804    0.4256908290  -12.1152628751
1.3548118319    0.5654866776    0.0190270448   -0.0561920172   -0.2449144565   -7.7236196626    0.6463462437  -12.0509193048
1.3548118319    0.7068583471    0.0138321376   -0.0247955614   -0.1633529294   -7.7264182464    0.7853178296  -12.0229100619
1.3548118319    0.8482300165    0.0108634395   -0.0193554741   -0.1146744984   -7.7277947118    0.8768771269  -12.0093265169
1.3548118319    0.9896016859    0.0080191963   -0.0213937920   -0.0784083783   -7.7284569963    0.9363444304  -12.0029547466
1.3548118319    1.1309733553    0.0048279878   -0.0231120403   -0.0486294984   -7.7287344111    0.9724034294  -12.0005521988
1.3548118319    1.2723450247    0.0018501287   -0.0172966311   -0.0226314160   -7.7288201269    0.9913521927  -12.0000228227
1.3548118319    1.4137166941    0.0002590968   -0.0053126524   -0.0041277955   -7.7288311416    0.9987369709  -11.9999991847
1.3744467859    0.1413716694    1.7676572636   -8.5039095671   -3.7643185768   -0.5935334321    0.6374730396   73.1601684621
1.3744467859    0.2827433388    0.1925113285   -7.1727285335   -7.2692244181   -7.5288967034    0.0381657875  -11.9498526024
1.3744467859    0.4241150082    0.0310703140   -0.2065606949   -0.4614893841   -7.7997365831    0.4254357578  -12.1165070536
1.3744467859    0.5654866776    0.0159357432   -0.0518266434   -0.2443760583   -7.8069663151    0.6462491266  -12.0515355115
1.3744467859    0.7068583471    0.0113109540   -0.0209720687   -0.1641300690   -7.8097490333    0.7852734072  -12.0235523133
1.3744467859    0.8482300165    0.0088732261   -0.0156333438   -0.1165021055   -7.8111405263    0.8768470359  -12.0099072193
1.3744467859    0.9896016859    0.0065527761   -0.0177178308   -0.0809772678   -7.8118227574    0.9363198961  -12.0033524072
1.3744467859    1.1309733553    0.0038737028   -0.0195294559   -0.0511806249   -7.8121118903    0.9723882286  -12.0007290374
1.3744467859    1.2723450247    0.0013975038   -0.0139055310   -0.0237584156   -7.8121982483    0.9913482684  -12.0000558029
1.3744467859    1.4137166941    0.0001771434   -0.0037607080   -0.0042034491   -7.8122079442    0.9987368579  -12.0000000468
1.3940817400    0.1413716694    1.7676241012   -8.5040306823   -3.7659432061   -0.5936669037    0.6374228746   73.1412687693
1.3940817400    0.2827433388    0.1884124381   -7.2733302002   -7.3847501966   -7.6086425481    0.0375585832  -11.9711355644
1.3940817400    0.4241150082    0.0272721889   -0.2002217659   -0.4586647420   -7.8831786950    0.4251899892  -12.1173093772
1.3940817400    0.5654866776    0.0128539077   -0.0475826675   -0.2434995688   -7.8902745863    0.6461599918  -12.0518778869
1.3940817400    0.7068583471    0.0087807750   -0.0172849025   -0.1645543392   -7.8930349494    0.7852361430  -12.0240092387
1.3940817400    0.8482300165    0.0068549525   -0.0120400045   -0.1179499527   -7.8944367689    0.8768229090  -12.0103705105
1.3940817400    0.9896016859    0.0050428793   -0.0141202173   -0.0831402575   -7.8951363427    0.9362993329  -12.0036873864
1.3940817400    1.1309733553    0.0028753302   -0.0158474323   -0.0532376380   -7.8954360410    0.9723750310  -12.0008776290
1.3940817400    1.2723450247    0.0009275653   -0.0103002677   -0.0244059071   -7.8955224110    0.9913451068  -12.0000804790
1.3940817400    1.4137166941    0.0000948548   -0.0021826831   -0.0041637045   -7.8955309079    0.9987367838  -12.0000005786
1.4137166941    0.1413716694    1.7675935751   -8.5041422249   -3.7674381883   -0.5937897653    0.6373767003   73.1238736703
1.4137166941    0.2827433388    0.1843285245   -7.3806500052   -7.5063902713   -7.6883707803    0.0369534459  -11.9916699900
1.4137166941    0.4241150082    0.0235006054   -0.1939377153   -0.4554590880   -7.9665994824    0.4249535354  -12.1176883364
1.4137166941    0.5654866776    0.0097856422   -0.0434518207   -0.2422969045   -7.9735528608    0.6460786907  -12.0519573458
1.4137166941    0.7068583471    0.0062469034   -0.0137255326   -0.1646363924   -7.9762844774    0.7852058941  -12.0242853691
1.4137166941    0.8482300165    0.0048150812   -0.0085677619   -0.1190242042   -7.9776917318    0.8768047609  -12.0107156225
1.4137166941    0.9896016859    0.0034970409   -0.0105919068   -0.0848887373   -7.9784055925    0.9362829937  -12.0039551702
1.4137166941    1.1309733553    0.0018427768   -0.0120438586   -0.0547516152   -7.9787140970    0.9723642660  -12.0009921477
1.4137166941    1.2723450247    0.0004497798   -0.0065209582   -0.0245639310   -7.9787996715    0.9913428727  -12.0000953354
1.4137166941    1.4137166941    0.0000143795   -0.0006185782   -0.0040210596   -7.9788071625    0.9987367501  -12.0000007708
1.4333516482    0.1413716694    1.7675654755   -8.5042449478   -3.7688139139   -0.5939028609    0.6373341988   73.1078631355
1.4333516482    0.2827433388    0.1802577308   -7.4955812204   -7.6350551651   -7.7680908935    0.0363505528  -12.0115100318
1.4333516482    0.4241150082    0.0197584575   -0.1877016041   -0.4518841838   -8.0500068588    0.4247263959  -12.1176623344
1.4333516482    0.5654866776    0.0067349012   -0.0394260759   -0.2407793558   -8.0568095025    0.6460050593  -12.0517850659
1.4333516482    0.7068583471    0.0037144779   -0.0102853491   -0.1643863832   -8.0595061300    0.7851824881  -12.0243858579
1.4333516482    0.8482300165    0.0027599667   -0.0052080906   -0.1197307442   -8.0609138100    0.8767925539  -12.0109426049
1.4333516482    0.9896016859    0.0019229690   -0.0071197641   -0.0862120304   -8.0616385212    0.9362710720  -12.0041517533
1.4333516482    1.1309733553    0.0007868732   -0.0080947241   -0.0556750556   -8.0619535189    0.9723563137  -12.0010672354
1.4333516482    1.2723450247   -0.0000263643   -0.0026170302   -0.0242401941   -8.0620374343    0.9913416633  -12.0000995487
1.4333516482    1.4137166941   -0.0000624131    0.0008950782   -0.0037912598   -8.0620441830    0.9987367542  -12.0000006479
1.4529866023    0.1413716694    1.7675396095   -8.5043395452   -3.7700799287   -0.5940069669    0.6372950778   73.0931268094
1.4529866023    0.2827433388    0.1761979723   -7.6186415787   -7.7712782319   -7.8478131405    0.0357500467  -12.0307023076
1.4529866023    0.4241150082    0.0160485446   -0.1815068959   -0.4479512091   -8.1334085411    0.4245085584  -12.1172496643
1.4529866023    0.5654866776    0.0037054993   -0.0354976391   -0.2389575847   -8.1400527050    0.6459389205  -12.0513724313
1.4529866023    0.7068583471    0.0011884830   -0.0069556747   -0.1638139065   -8.1427082936    0.7851657274  -12.0243164007
1.4529866023    0.8482300165    0.0006958635   -0.0019516269   -0.1200749522   -8.1441113380    0.8767862053  -12.0110522406
1.4529866023    0.9896016859    0.0003285946   -0.0036858201   -0.0870961399   -8.1448431474    0.9362637097  -12.0042735071
1.4529866023    1.1309733553   -0.0002806784   -0.0039772989   -0.0559646900   -8.1451618526    0.9723514897  -12.0010983150
1.4529866023    1.2723450247   -0.0004916972    0.0013538187   -0.0234595349   -8.1452433278    0.9913415004  -12.0000930609
